STOP_ID,STOP_TYPE,X,Y,LAST_UPDATE_DATE,STOP_CODE
2,1,843622,813951,5/7/2022,
3,1,843333,814109,5/7/2022,
4,1,842947,814013,5/7/2022,
5,1,842646,813814,5/7/2022,
6,1,842419,813736,5/7/2022,
7,1,842307,813674,5/7/2022,
8,1,842182,813741,5/7/2022,
9,1,842149,813996,5/7/2022,
10,1,842092,814350,5/7/2022,
11,1,842111,814519,5/7/2022,
12,1,842016,814846,5/7/2022,
13,1,841835,815086,5/7/2022,
15,1,836740,815798,5/7/2022,
16,1,836554,815722,5/7/2022,
17,1,831457,840927,5/7/2022,
18,1,836068,815612,5/7/2022,
19,1,835644,815588,5/7/2022,
20,1,831231,841090,5/7/2022,
21,1,834543,815898,5/7/2022,
22,1,834350,815826,5/7/2022,
23,1,834272,816048,5/7/2022,
24,1,834099,816156,5/7/2022,
26,1,834105,816179,5/7/2022,
27,1,834210,816042,5/7/2022,
28,1,834453,815978,5/7/2022,
30,1,835508,815645,5/7/2022,
31,1,835876,815624,5/7/2022,
32,1,836187,815928,5/7/2022,
33,1,841864,815086,5/7/2022,
35,1,842091,814705,5/7/2022,
36,1,842120,814412,5/7/2022,
40,1,842454,813774,5/7/2022,
42,1,842822,813944,5/7/2022,
43,1,842938,814035,5/7/2022,
46,1,843941,813766,5/7/2022,
48,1,842527,814357,5/7/2022,
49,1,838171,816605,5/7/2022,
50,1,838176,816468,5/7/2022,
51,1,838202,816314,5/7/2022,
53,1,838257,816249,5/7/2022,
54,1,838344,816464,5/7/2022,
55,1,838534,816486,5/7/2022,
56,1,838719,816423,5/7/2022,
57,1,838533,816074,5/7/2022,
58,1,838899,816952,5/7/2022,
59,1,838593,816885,5/7/2022,
60,1,838426,816849,5/7/2022,
61,1,838144,816768,5/7/2022,
62,1,837997,816589,5/7/2022,
63,1,837926,816216,5/7/2022,
64,1,837519,815698,5/7/2022,
66,1,836954,815055,5/7/2022,
67,1,837084,814626,5/7/2022,
68,1,836873,814582,5/7/2022,
69,1,836648,814737,5/7/2022,
74,1,842066,814511,5/7/2022,
75,1,841770,813828,5/7/2022,
79,1,840455,809885,5/7/2022,
80,1,840245,809624,5/7/2022,
82,1,840003,808944,5/7/2022,
84,1,840413,808669,5/7/2022,
87,1,840408,808664,5/7/2022,
89,1,839812,809248,5/7/2022,
90,1,840037,809489,5/7/2022,
91,1,840287,809675,5/7/2022,
93,1,841003,810754,5/7/2022,
94,1,840919,811582,5/7/2022,
95,1,842317,818753,5/7/2022,
96,1,841814,813923,5/7/2022,
97,1,842030,814469,5/7/2022,
99,1,842212,814010,5/7/2022,
100,1,841456,815393,5/7/2022,
101,1,841339,815568,5/7/2022,
102,1,841068,815761,5/7/2022,
103,1,840787,816064,5/7/2022,
104,1,840383,816178,5/7/2022,
105,1,840136,816189,5/7/2022,
106,1,839887,816206,5/7/2022,
107,1,839701,816465,5/7/2022,
108,1,839610,816779,5/7/2022,
109,1,839464,816950,5/7/2022,
110,1,839316,816998,5/7/2022,
111,1,839052,816988,5/7/2022,
112,1,838777,816927,5/7/2022,
113,1,836954,815681,5/7/2022,
116,1,836443,815498,5/7/2022,
118,1,836177,815437,5/7/2022,
119,1,835979,815415,5/7/2022,
120,1,835770,815394,5/7/2022,
121,1,835689,815400,5/7/2022,
122,1,835059,815465,5/7/2022,
124,1,833936,816300,5/7/2022,
125,1,833502,816629,5/7/2022,
127,1,833903,816342,5/7/2022,
128,1,834512,815761,5/7/2022,
129,1,834606,815696,5/7/2022,
130,1,835006,815514,5/7/2022,
131,1,835515,815439,5/7/2022,
132,1,835952,815436,5/7/2022,
133,1,836202,815464,5/7/2022,
134,1,836298,815477,5/7/2022,
135,1,836643,815593,5/7/2022,
136,1,837048,815708,5/7/2022,
137,1,837583,815779,5/7/2022,
139,1,837920,816521,5/7/2022,
140,1,838144,816797,5/7/2022,
141,1,838430,816875,5/7/2022,
142,1,838780,816951,5/7/2022,
143,1,838903,816977,5/7/2022,
144,1,839307,817023,5/7/2022,
146,1,839665,816681,5/7/2022,
147,1,839820,816304,5/7/2022,
148,1,840107,816212,5/7/2022,
149,1,840309,816209,5/7/2022,
151,1,840885,815970,5/7/2022,
152,1,841084,815772,5/7/2022,
155,1,842217,813970,5/7/2022,
156,1,842460,814004,5/7/2022,
157,1,843166,814251,5/7/2022,
159,1,843713,813827,5/7/2022,
161,1,843014,814319,5/7/2022,
163,1,833926,816392,5/7/2022,
166,1,842849,815253,5/7/2022,
167,1,842716,815421,5/7/2022,
169,1,841886,815765,5/7/2022,
170,1,841894,815555,5/7/2022,
171,1,841899,815422,5/7/2022,
172,1,841853,815204,5/7/2022,
173,1,840926,815874,5/7/2022,
174,1,840890,816049,5/7/2022,
175,1,841067,816147,5/7/2022,
176,1,841074,816036,5/7/2022,
178,1,838672,816950,5/7/2022,
179,1,838824,817153,5/7/2022,
180,1,840458,816272,5/7/2022,
181,1,840970,815943,5/7/2022,
182,1,841853,815253,5/7/2022,
183,1,841886,815478,5/7/2022,
185,1,841886,815796,5/7/2022,
187,1,842109,815991,5/7/2022,
188,1,842901,815158,5/7/2022,
190,1,842760,814619,5/7/2022,
193,1,835646,819170,5/7/2022,
194,1,835605,819401,5/7/2022,
197,1,835121,820596,5/7/2022,
199,1,834678,821204,5/7/2022,
203,1,834518,821334,5/7/2022,
204,1,834324,821654,5/7/2022,
205,1,834301,821806,5/7/2022,
206,1,834566,821817,5/7/2022,
207,1,834659,821424,5/7/2022,
208,1,834829,821264,5/7/2022,
209,1,835033,821091,5/7/2022,
210,1,835182,820969,5/7/2022,
211,1,835378,820715,5/7/2022,
212,1,835419,820487,5/7/2022,
214,1,835626,819406,5/7/2022,
216,1,835700,818992,5/7/2022,
219,1,836652,818079,5/7/2022,
220,1,837138,816089,5/7/2022,
221,1,837734,816322,5/7/2022,
222,1,837996,816726,5/7/2022,
223,1,838129,816883,5/7/2022,
228,1,838246,816809,5/7/2022,
230,1,836492,815437,5/7/2022,
231,1,836189,815327,5/7/2022,
232,1,835728,815508,5/7/2022,
233,1,835151,815546,5/7/2022,
234,1,836064,815391,5/7/2022,
235,1,836292,815366,5/7/2022,
236,1,836501,815449,5/7/2022,
237,1,836801,815358,5/7/2022,
238,1,837047,815413,5/7/2022,
240,1,834528,816347,5/7/2022,
241,1,834511,816209,5/7/2022,
244,1,834570,815420,5/7/2022,
245,1,834272,815291,5/7/2022,
246,1,833932,815614,5/7/2022,
247,1,833693,815831,5/7/2022,
248,1,833436,816000,5/7/2022,
249,1,833286,816027,5/7/2022,
250,1,833382,815997,5/7/2022,
252,1,833572,815779,5/7/2022,
253,1,833835,815532,5/7/2022,
254,1,834007,815242,5/7/2022,
255,1,834292,815406,5/7/2022,
256,1,834499,815490,5/7/2022,
257,1,834437,815669,5/7/2022,
258,1,834268,815892,5/7/2022,
259,1,834501,816238,5/7/2022,
261,1,834125,815841,5/7/2022,
262,1,833930,815954,5/7/2022,
263,1,833939,815896,5/7/2022,
264,1,833971,815683,5/7/2022,
265,1,832968,816215,5/7/2022,
266,1,832905,816142,5/7/2022,
267,1,832829,816113,5/7/2022,
268,1,832983,816170,5/7/2022,
269,1,833170,815966,5/7/2022,
270,1,833244,815926,5/7/2022,
271,1,833558,815744,5/7/2022,
274,1,836007,816139,5/7/2022,
276,1,836751,815638,5/7/2022,
277,1,837142,815686,5/7/2022,
279,1,837660,815504,5/7/2022,
280,1,837992,815357,5/7/2022,
282,1,838031,815887,5/7/2022,
283,1,838143,816113,5/7/2022,
284,1,838095,816208,5/7/2022,
285,1,838228,816499,5/7/2022,
286,1,838437,816583,5/7/2022,
287,1,838660,816583,5/7/2022,
288,1,838908,816647,5/7/2022,
289,1,838612,816266,5/7/2022,
291,1,838599,816248,5/7/2022,
292,1,838548,816462,5/7/2022,
293,1,838382,816481,5/7/2022,
294,1,838321,816399,5/7/2022,
295,1,838262,816243,5/7/2022,
296,1,838179,816503,5/7/2022,
297,1,837735,816061,5/7/2022,
300,1,837994,815807,5/7/2022,
301,1,837997,815555,5/7/2022,
304,1,837697,815460,5/7/2022,
306,1,832397,813204,5/7/2022,
307,1,832242,813359,5/7/2022,
308,1,832244,813020,5/7/2022,
309,1,832551,812615,5/7/2022,
310,1,833337,812297,5/7/2022,
312,1,834349,812084,5/7/2022,
313,1,834784,812219,5/7/2022,
315,1,836149,812357,5/7/2022,
316,1,836617,815262,5/7/2022,
318,1,835455,815421,5/7/2022,
319,1,834749,815623,5/7/2022,
320,1,834090,816113,5/7/2022,
321,1,833903,816159,5/7/2022,
322,1,833627,816174,5/7/2022,
323,1,833405,816344,5/7/2022,
324,1,833015,816415,5/7/2022,
325,1,832755,816438,5/7/2022,
326,1,832628,816446,5/7/2022,
327,1,832463,816288,5/7/2022,
328,1,832016,816082,5/7/2022,
329,1,831785,816096,5/7/2022,
330,1,831678,815866,5/7/2022,
331,1,831554,815489,5/7/2022,
332,1,831467,814960,5/7/2022,
334,1,831503,814533,5/7/2022,
335,1,831695,814234,5/7/2022,
336,1,831822,813949,5/7/2022,
337,1,832020,813745,5/7/2022,
338,1,832109,813547,5/7/2022,
340,1,832308,812997,5/7/2022,
341,1,832074,813525,5/7/2022,
343,1,831776,813980,5/7/2022,
344,1,831639,814277,5/7/2022,
345,1,831507,814463,5/7/2022,
346,1,831426,815011,5/7/2022,
347,1,831534,815497,5/7/2022,
348,1,831673,815920,5/7/2022,
349,1,831743,816083,5/7/2022,
350,1,831873,816170,5/7/2022,
351,1,832308,816266,5/7/2022,
352,1,832424,816369,5/7/2022,
353,1,832509,816566,5/7/2022,
354,1,832646,816570,5/7/2022,
355,1,832883,816562,5/7/2022,
356,1,833118,816546,5/7/2022,
359,1,834216,816529,5/7/2022,
360,1,834549,816423,5/7/2022,
362,1,835776,815299,5/7/2022,
364,1,836256,815346,5/7/2022,
365,1,836651,815181,5/7/2022,
366,1,836121,812332,5/7/2022,
369,1,834849,812181,5/7/2022,
371,1,834067,812035,5/7/2022,
372,1,833753,812133,5/7/2022,
375,1,832217,813023,5/7/2022,
377,1,832451,816153,5/7/2022,
378,1,832597,816220,5/7/2022,
379,1,833959,816435,5/7/2022,
380,1,832693,816173,5/7/2022,
381,1,832324,816133,5/7/2022,
382,1,831820,816389,5/7/2022,
384,1,831882,816481,5/7/2022,
385,1,832179,816467,5/7/2022,
388,1,834528,815850,5/7/2022,
389,1,835664,815426,5/7/2022,
392,1,831505,816084,5/7/2022,
393,1,831204,815956,5/7/2022,
394,1,830926,815909,5/7/2022,
395,1,830685,815906,5/7/2022,
396,1,830929,815925,5/7/2022,
398,1,831455,816162,5/7/2022,
399,1,831546,816244,5/7/2022,
400,1,831642,816380,5/7/2022,
401,1,834862,815652,5/7/2022,
403,1,840363,808207,5/7/2022,
406,1,840122,809573,5/7/2022,
407,1,839541,809428,5/7/2022,
408,1,838976,809685,5/7/2022,
409,1,838621,810750,5/7/2022,
411,1,838154,811089,5/7/2022,
412,1,837896,810961,5/7/2022,
413,1,837563,810986,5/7/2022,
416,1,836372,811920,5/7/2022,
417,1,836192,812151,5/7/2022,
418,1,836447,815102,5/7/2022,
419,1,836206,815108,5/7/2022,
420,1,835829,815076,5/7/2022,
422,1,835381,815372,5/7/2022,
425,1,835343,815417,5/7/2022,
426,1,835579,815250,5/7/2022,
427,1,835733,815147,5/7/2022,
429,1,836267,815147,5/7/2022,
430,1,836212,812208,5/7/2022,
431,1,836459,811893,5/7/2022,
434,1,837584,810983,5/7/2022,
435,1,837930,811074,5/7/2022,
436,1,838169,811099,5/7/2022,
437,1,838522,811080,5/7/2022,
440,1,838960,809774,5/7/2022,
441,1,839614,809608,5/7/2022,
443,1,839889,809533,5/7/2022,
444,1,840120,809585,5/7/2022,
446,1,839863,809163,5/7/2022,
448,1,840364,808229,5/7/2022,
449,1,833595,811729,5/7/2022,
450,1,834030,811615,5/7/2022,
451,1,834181,811654,5/7/2022,
452,1,834169,811633,5/7/2022,
453,1,834014,811584,5/7/2022,
454,1,833471,811704,5/7/2022,
457,1,833413,811575,5/7/2022,
458,1,833265,811586,5/7/2022,
462,1,834442,812085,5/7/2022,
467,1,834927,815647,5/7/2022,
468,1,835073,815529,5/7/2022,
469,1,836724,815502,5/7/2022,
471,1,833052,816228,5/7/2022,
472,1,833235,816085,5/7/2022,
473,1,833382,816029,5/7/2022,
474,1,833589,815947,5/7/2022,
475,1,833886,812340,5/7/2022,
476,1,834094,812205,5/7/2022,
481,1,837646,815572,5/7/2022,
482,1,834318,811455,5/7/2022,
483,1,834154,811330,5/7/2022,
484,1,833993,811413,5/7/2022,
486,1,836576,815179,5/7/2022,
487,1,835967,812090,5/7/2022,
489,1,832134,812792,5/7/2022,
490,1,832054,812666,5/7/2022,
491,1,832110,812489,5/7/2022,
493,1,835581,812384,5/7/2022,
495,1,832311,812547,5/7/2022,
496,1,832193,812461,5/7/2022,
497,1,832055,812580,5/7/2022,
498,1,832026,812737,5/7/2022,
499,1,832078,812557,5/7/2022,
501,1,832243,813366,5/7/2022,
502,1,832460,813137,5/7/2022,
503,1,832460,812947,5/7/2022,
505,1,834050,812084,5/7/2022,
506,1,834156,816205,5/7/2022,
507,1,833231,816405,5/7/2022,
508,1,832936,816453,5/7/2022,
510,1,834310,816288,5/7/2022,
511,1,833216,812202,5/7/2022,
512,1,832930,812203,5/7/2022,
513,1,832486,812319,5/7/2022,
514,1,832915,812211,5/7/2022,
517,1,815901,827545,5/7/2022,
518,1,834939,815587,5/7/2022,
520,1,836536,814448,5/7/2022,
521,1,836815,814368,5/7/2022,
523,1,837822,813460,5/7/2022,
526,1,836702,812827,5/7/2022,
527,1,836036,812433,5/7/2022,
528,1,835902,812349,5/7/2022,
529,1,835314,812258,5/7/2022,
530,1,834106,812322,5/7/2022,
531,1,834179,812525,5/7/2022,
532,1,834311,812575,5/7/2022,
535,1,834192,812191,5/7/2022,
536,1,834234,812365,5/7/2022,
538,1,836016,812437,5/7/2022,
539,1,836654,812846,5/7/2022,
540,1,837104,812823,5/7/2022,
541,1,837881,813191,5/7/2022,
545,1,836791,814234,5/7/2022,
546,1,836790,814378,5/7/2022,
547,1,836586,814420,5/7/2022,
548,1,836427,814600,5/7/2022,
550,1,841571,815508,5/7/2022,
551,1,841354,815371,5/7/2022,
552,1,841388,815248,5/7/2022,
553,1,841074,815381,5/7/2022,
554,1,840737,815567,5/7/2022,
555,1,840494,815689,5/7/2022,
556,1,840672,815772,5/7/2022,
557,1,840763,815866,5/7/2022,
558,1,833430,812343,5/7/2022,
559,1,833461,812433,5/7/2022,
560,1,833253,812403,5/7/2022,
562,1,840797,815767,5/7/2022,
563,1,840684,815714,5/7/2022,
564,1,840546,815612,5/7/2022,
565,1,840841,815610,5/7/2022,
567,1,841302,815199,5/7/2022,
568,1,841329,815396,5/7/2022,
571,1,837354,814226,5/7/2022,
572,1,837259,814382,5/7/2022,
573,1,837087,814454,5/7/2022,
582,1,837823,815105,5/7/2022,
583,1,837774,815338,5/7/2022,
585,1,838159,815260,5/7/2022,
586,1,837143,815661,5/7/2022,
587,1,836305,815454,5/7/2022,
588,1,834184,816170,5/7/2022,
589,1,834351,815852,5/7/2022,
591,1,837960,815201,5/7/2022,
592,1,837809,815195,5/7/2022,
593,1,837874,815063,5/7/2022,
594,1,837923,814972,5/7/2022,
595,1,838045,814974,5/7/2022,
597,1,838010,814846,5/7/2022,
598,1,838101,814668,5/7/2022,
599,1,838084,814513,5/7/2022,
604,1,834138,815219,5/7/2022,
605,1,834240,815197,5/7/2022,
606,1,834326,815176,5/7/2022,
607,1,834453,815170,5/7/2022,
608,1,834662,815173,5/7/2022,
609,1,834442,815269,5/7/2022,
610,1,837732,815851,5/7/2022,
611,1,833832,816223,5/7/2022,
612,1,832435,816429,5/7/2022,
613,1,831987,816350,5/7/2022,
616,1,834737,815709,5/7/2022,
617,1,835963,815071,5/7/2022,
618,1,836438,815125,5/7/2022,
619,1,837506,815357,5/7/2022,
620,1,837220,815191,5/7/2022,
621,1,833654,816413,5/7/2022,
623,1,833159,816526,5/7/2022,
624,1,833031,816538,5/7/2022,
625,1,832655,816551,5/7/2022,
626,1,832273,816476,5/7/2022,
627,1,832071,816416,5/7/2022,
628,1,831634,816318,5/7/2022,
629,1,831467,816152,5/7/2022,
632,1,837628,815118,5/7/2022,
633,1,837692,816362,5/7/2022,
635,1,837836,815790,5/7/2022,
636,1,837797,815580,5/7/2022,
637,1,831718,816377,5/7/2022,
638,1,830154,815221,5/7/2022,
639,1,830142,815228,5/7/2022,
640,1,830179,815576,5/7/2022,
641,1,830350,815781,5/7/2022,
644,1,830481,815792,5/7/2022,
645,1,830277,815714,5/7/2022,
646,1,830183,815536,5/7/2022,
647,1,834658,815898,5/7/2022,
648,1,837925,812549,5/7/2022,
649,1,837769,811890,5/7/2022,
650,1,837530,811290,5/7/2022,
652,1,837701,811672,5/7/2022,
653,1,837881,812691,5/7/2022,
657,1,837937,816359,5/7/2022,
658,1,836900,815878,5/7/2022,
659,1,834043,811317,5/7/2022,
661,1,837845,816274,5/7/2022,
662,1,837824,814941,5/7/2022,
663,1,837851,814809,5/7/2022,
664,1,837769,814664,5/7/2022,
665,1,837614,814385,5/7/2022,
666,1,837688,814113,5/7/2022,
667,1,837663,813748,5/7/2022,
668,1,831961,812748,5/7/2022,
670,1,837687,813760,5/7/2022,
672,1,838366,816988,5/7/2022,
673,1,832826,816164,5/7/2022,
674,1,833911,815694,5/7/2022,
675,1,834406,815831,5/7/2022,
677,1,830421,814903,5/7/2022,
678,1,830801,814841,5/7/2022,
679,1,831052,814931,5/7/2022,
681,1,830978,814589,5/7/2022,
682,1,831141,814380,5/7/2022,
683,1,831223,814207,5/7/2022,
684,1,831381,814261,5/7/2022,
685,1,831676,813869,5/7/2022,
686,1,832163,812832,5/7/2022,
687,1,832289,812731,5/7/2022,
688,1,831797,813451,5/7/2022,
689,1,831902,813048,5/7/2022,
691,1,831763,813673,5/7/2022,
692,1,831599,813896,5/7/2022,
694,1,831178,814272,5/7/2022,
695,1,831055,814451,5/7/2022,
696,1,830968,814614,5/7/2022,
697,1,831104,814712,5/7/2022,
698,1,830958,814889,5/7/2022,
700,1,831818,813662,5/7/2022,
702,1,831981,813039,5/7/2022,
703,1,836143,812225,5/7/2022,
706,1,841119,819355,5/7/2022,
707,1,840342,819666,5/7/2022,
708,1,839036,827530,5/7/2022,
709,1,838905,827432,5/7/2022,
711,1,840128,820635,5/7/2022,
712,1,840678,819569,5/7/2022,
716,1,838593,810883,5/7/2022,
718,1,836267,821930,5/7/2022,
719,1,839043,827561,5/7/2022,
721,1,838842,827696,5/7/2022,
723,1,836160,817725,5/7/2022,
724,1,835327,818303,5/7/2022,
725,1,835306,820365,5/7/2022,
726,1,835494,819389,5/7/2022,
728,1,835414,817831,5/7/2022,
734,1,834927,815506,5/7/2022,
736,1,838586,817033,5/7/2022,
738,1,836821,815347,5/7/2022,
739,1,832488,822005,5/7/2022,
740,1,833731,822176,5/7/2022,
741,1,834105,821866,5/7/2022,
742,1,834323,821788,5/7/2022,
743,1,834570,821478,5/7/2022,
744,1,835597,819558,5/7/2022,
745,1,835652,819264,5/7/2022,
746,1,837358,815682,5/7/2022,
747,1,841568,815782,5/7/2022,
748,1,840810,816034,5/7/2022,
749,1,839805,816274,5/7/2022,
751,1,835499,819956,5/7/2022,
752,1,835431,820306,5/7/2022,
754,1,835171,820947,5/7/2022,
756,1,834770,821282,5/7/2022,
757,1,834090,821844,5/7/2022,
758,1,833931,821979,5/7/2022,
760,1,833229,821983,5/7/2022,
768,1,836499,821851,5/7/2022,
770,1,836425,820504,5/7/2022,
773,1,836192,819280,5/7/2022,
774,1,836217,818905,5/7/2022,
775,1,836595,818610,5/7/2022,
776,1,835917,815586,5/7/2022,
777,1,834159,815542,5/7/2022,
778,1,834441,815760,5/7/2022,
779,1,836189,818962,5/7/2022,
780,1,836253,819369,5/7/2022,
781,1,836429,819849,5/7/2022,
782,1,836143,819998,5/7/2022,
783,1,836400,820560,5/7/2022,
785,1,836452,821449,5/7/2022,
786,1,836631,821667,5/7/2022,
787,1,836726,821731,5/7/2022,
788,1,836758,822098,5/7/2022,
790,1,837251,822079,5/7/2022,
793,1,837664,822904,5/7/2022,
794,1,839455,820336,5/7/2022,
795,1,839556,820451,5/7/2022,
797,1,839487,821179,5/7/2022,
798,1,839355,821309,5/7/2022,
801,1,839357,821508,5/7/2022,
804,1,837428,820447,5/7/2022,
806,1,837340,819403,5/7/2022,
807,1,837227,819212,5/7/2022,
808,1,837070,818963,5/7/2022,
813,1,836690,815389,5/7/2022,
817,1,837358,820061,5/7/2022,
818,1,837461,820570,5/7/2022,
820,1,837838,821078,5/7/2022,
822,1,838572,821684,5/7/2022,
823,1,839391,821570,5/7/2022,
824,1,839227,820999,5/7/2022,
825,1,839270,821370,5/7/2022,
