STOP_ID,STOP_TYPE,X,Y,LAST_UPDATE_DATE,STOP_CODE
22001,2,836844,815784,19/4/2012,
22020,2,835012,815511,19/4/2012,
22022,2,833488,814568,19/4/2012,
22038,2,832362,815761,19/4/2012,
22039,2,832606,815713,19/4/2012,
22040,2,832356,815773,19/4/2012,
22045,2,833567,815575,19/4/2012,
22046,2,833892,812240,19/4/2012,
22054,2,836959,815846,19/4/2012,
22061,2,834029,812234,19/4/2012,
22062,2,834389,812209,19/4/2012,
22066,2,835024,815583,19/4/2012,
22074,2,834295,815090,19/4/2012,
22079,2,833450,812419,19/4/2012,
22080,2,831296,815658,19/4/2012,
22090,2,830955,815809,19/4/2012,
22093,2,837043,815530,19/4/2012,
22099,2,840016,809004,19/4/2012,
22101,2,839181,808610,19/4/2012,
22102,2,842489,814048,19/4/2012,
22103,2,842480,814009,19/4/2012,
22104,2,844173,812499,19/4/2012,
22120,2,842016,814320,19/4/2012,
22126,2,832157,813282,19/4/2012,
22140,2,838312,814758,19/4/2012,
22142,2,838525,816028,19/4/2012,
22148,2,834171,811709,19/4/2012,
22149,2,831877,813717,19/4/2012,
22153,2,837076,815421,19/4/2012,
22156,2,833430,811770,19/4/2012,
22160,2,834962,811597,19/4/2012,
22164,2,835346,810842,19/4/2012,
22165,2,837445,814115,19/4/2012,
22183,2,840108,815701,19/4/2012,
22192,2,841690,815552,19/4/2012,
22204,2,839982,815789,19/4/2012,
22210,2,838828,817013,19/4/2012,
22216,2,840101,815682,19/4/2012,
22218,2,833950,812243,19/4/2012,
22221,2,835569,815386,19/4/2012,
22233,2,834225,811737,19/4/2012,
22235,2,833576,811722,19/4/2012,
22237,2,834174,811565,19/4/2012,
22238,2,834172,811608,19/4/2012,
22243,2,837770,815980,19/4/2012,
22253,2,840470,808526,19/4/2012,
22254,2,841883,813533,19/4/2012,
22255,2,842462,814021,19/4/2012,
22257,2,843837,813725,19/4/2012,
22259,2,832691,816398,19/4/2012,
22263,2,842426,814476,19/4/2012,
22264,2,842404,814033,19/4/2012,
22269,2,841049,815435,19/4/2012,
22272,2,832434,812339,19/4/2012,
22275,2,833587,812651,19/4/2012,
22284,2,834543,816425,19/4/2012,
22291,2,831498,814638,5/4/2013,
22302,2,832792,815983,19/4/2012,
22326,2,834073,812110,25/11/2020,
22331,2,830792,814553,19/4/2012,
22341,2,834039,812143,19/4/2012,
22343,2,835129,811790,19/4/2012,
22348,2,830903,814758,19/4/2012,
22350,2,843908,814073,19/4/2012,
22356,2,833418,811554,19/4/2012,
22366,2,831525,814633,19/4/2012,
22376,2,838237,816734,19/4/2012,
22387,2,841572,815845,8/12/2015,
22401,2,841596,815878,19/4/2012,
22409,2,835553,820159,19/4/2012,
22418,2,837712,818467,19/4/2012,
22430,2,836083,821947,19/4/2012,
22445,2,835635,817414,19/4/2012,
22454,2,834683,820383,19/4/2012,
22465,2,836353,820091,19/4/2012,
22480,2,835692,817447,19/4/2012,
22489,2,837848,819805,19/4/2012,
22498,2,836450,817755,19/4/2012,
22511,2,836907,820032,3/10/2017,
22517,2,835271,821965,19/4/2012,
22540,2,835260,822000,19/4/2012,
22546,2,835497,820628,19/4/2012,
22547,2,835786,820340,19/4/2012,
22548,2,836720,822603,19/4/2012,
22555,2,837515,818056,8/2/2019,
22561,2,837271,822170,19/4/2012,
22565,2,840534,821742,19/4/2012,
22570,2,840101,822155,19/4/2012,
22571,2,840161,822038,19/4/2012,
22572,2,836568,820520,13/5/2020,
22579,2,838163,822613,19/4/2012,
22582,2,838141,823362,19/4/2012,
22586,2,838281,821788,19/4/2012,
22588,2,838892,822360,19/4/2012,
22592,2,838688,823305,19/4/2012,
22601,2,838294,821700,19/4/2012,
22615,2,838064,822459,19/4/2012,
22620,2,834748,819845,19/4/2012,
22632,2,840685,820177,19/4/2012,
22635,2,841261,819821,19/4/2012,
22638,2,841745,817831,19/4/2012,
22646,2,841873,818700,9/12/2015,
22656,2,842425,817052,27/4/2020,
22663,2,842119,818639,19/4/2012,
22664,2,837920,821598,19/4/2012,
22676,2,836793,820919,19/4/2012,
22678,2,837525,819578,19/4/2012,
22681,2,837839,818790,19/4/2012,
22691,2,834830,818451,19/4/2012,
22704,2,837314,819894,19/4/2012,
22720,2,835583,820164,19/4/2012,
22745,2,834958,822282,19/4/2012,
22753,2,835015,822383,19/4/2012,
22758,2,835310,822548,19/4/2012,
22796,2,839855,822519,19/4/2012,
22797,2,839807,822542,19/4/2012,
22800,2,837923,822403,19/4/2012,
22803,2,841710,820197,19/4/2012,
22806,2,840476,820818,19/4/2012,
22813,2,840719,820001,19/4/2012,
22818,2,838162,822585,19/4/2012,
22825,2,838081,823066,19/4/2012,
22828,2,838173,822640,19/4/2012,
22830,2,838088,823076,19/4/2012,
22831,2,837433,822057,19/4/2012,
22849,2,833523,822246,19/4/2012,
22873,2,832485,820401,19/4/2012,
22889,2,833843,822443,19/4/2012,
22893,2,839338,821110,19/4/2012,
22907,2,834586,819954,19/4/2012,
22924,2,841237,821484,19/4/2012,
22953,2,841421,820834,19/4/2012,
22957,2,841450,820413,19/4/2012,
22960,2,839286,821167,19/4/2012,
22964,2,837816,822796,19/4/2012,
22973,2,837453,822228,19/4/2012,
22989,2,841182,819634,19/4/2012,
22995,2,835762,818583,19/4/2012,
22997,2,836126,818873,19/4/2012,
22998,2,842115,819315,19/4/2012,
23015,2,842313,818930,19/4/2012,
23022,2,842905,818186,19/4/2012,
23032,2,835740,817698,19/4/2012,
23051,2,835541,820229,19/4/2012,
23057,2,840344,821608,16/4/2018,
23069,2,841657,818693,19/4/2012,
23073,2,837441,821205,19/4/2012,
23094,2,842371,819840,19/4/2012,
23097,2,842234,819844,19/4/2012,
23099,2,839417,822431,19/4/2012,
23112,2,846211,826936,19/4/2012,
23113,2,844772,825075,19/4/2012,
23115,2,840016,820304,19/4/2012,
23116,2,839488,821774,19/4/2012,
23118,2,838807,822099,19/4/2012,
23120,2,846062,826789,19/4/2012,
23121,2,843483,823999,4/9/2015,
23123,2,846030,826813,19/4/2012,
23124,2,845292,827056,19/4/2012,
23125,2,845283,827711,19/4/2012,
23126,2,846010,826275,19/4/2012,
23127,2,846220,826409,19/4/2012,
23128,2,850946,828662,19/4/2012,
23129,2,851821,835619,19/4/2012,
23130,2,851150,829838,19/4/2012,
23131,2,844264,820588,19/4/2012,
23132,2,844587,820385,19/4/2012,
23135,2,841312,819343,5/5/2014,
23138,2,845500,820176,19/4/2012,
23143,2,845023,822192,19/4/2012,
23149,2,844619,820489,19/4/2012,
23158,2,844180,819954,19/4/2012,
23159,2,844469,819468,26/2/2016,
23161,2,845746,819867,19/4/2012,
23162,2,845425,819793,19/4/2012,
23169,2,843994,820830,19/4/2012,
23174,2,844566,820419,19/4/2012,
23176,2,848508,815054,19/4/2012,
23177,2,843866,820933,19/4/2012,
23178,2,843721,820439,19/4/2012,
23193,2,835603,833823,19/4/2012,
23194,2,835073,834259,19/4/2012,
23198,2,835987,835599,19/4/2012,
23200,2,835123,834292,19/4/2012,
23202,2,840055,835267,19/4/2012,
23204,2,835078,834371,19/4/2012,
23207,2,833319,835972,19/4/2012,
23210,2,834245,834357,19/4/2012,
23213,2,831011,833464,4/9/2015,
23215,2,838001,836335,19/4/2012,
23230,2,841891,831742,19/4/2012,
23231,2,841874,831800,19/4/2012,
23247,2,820909,833846,19/4/2012,
23256,2,817799,831955,19/4/2012,
23264,2,821153,834062,19/4/2012,
23269,2,812200,831985,20/8/2015,
23275,2,821176,834078,19/4/2012,
23276,2,816417,836470,19/4/2012,
23277,2,821163,834069,19/4/2012,
23279,2,820996,833973,19/4/2012,
23282,2,821590,834120,19/10/2015,
23285,2,822594,836831,19/4/2012,
23290,2,825464,837531,15/5/2018,
23291,2,824926,837021,19/4/2012,
23293,2,819697,830476,19/4/2012,
23296,2,821396,833727,19/4/2012,
23302,2,815143,830531,17/12/2020,
23311,2,815334,828378,19/4/2012,
23327,2,816103,831575,19/4/2012,
23344,2,815568,828721,19/4/2012,
23360,2,816300,826765,19/4/2012,
23372,2,815747,827020,19/4/2012,
23373,2,815574,827309,19/4/2012,
23384,2,831217,840270,19/4/2012,
23392,2,814429,826046,19/4/2012,
23406,2,826502,840374,19/4/2012,
23407,2,815216,828970,19/4/2012,
23416,2,831490,823344,19/4/2012,
23417,2,831478,823252,19/4/2012,
23419,2,831472,823275,19/4/2012,
23421,2,832193,823637,19/4/2012,
23440,2,835395,820333,19/4/2012,
23442,2,814331,829724,19/4/2012,
23448,2,828604,839133,1/3/2016,
23452,2,829303,841262,19/4/2012,
23453,2,832432,839108,19/4/2012,
23455,2,832914,840075,19/4/2012,
23457,2,832325,839259,19/4/2012,
23459,2,833716,843734,19/4/2012,
23469,2,832654,840141,19/4/2012,
23477,2,841072,845097,19/4/2012,
23483,2,840251,842683,19/4/2012,
23486,2,829030,838343,19/4/2012,
23487,2,830695,839011,19/4/2012,
23488,2,835536,820203,19/4/2012,
23489,2,836760,845839,19/4/2012,
23492,2,837371,827104,19/4/2012,
23502,2,837472,828998,19/4/2012,
23514,2,836525,824987,19/4/2012,
23515,2,838123,827572,19/4/2012,
23522,2,838317,829166,19/4/2012,
23526,2,835865,826781,19/4/2012,
23529,2,836434,826029,19/4/2012,
23531,2,835742,826485,19/4/2012,
23535,2,835643,826349,19/1/2015,
23541,2,835479,826127,19/4/2012,
23544,2,840500,826994,19/4/2012,
23548,2,837715,826941,19/4/2012,
23562,2,840556,828428,19/4/2012,
23568,2,837408,827214,19/4/2012,
23573,2,836515,825959,19/4/2012,
23576,2,836171,824769,19/4/2012,
23583,2,837408,827941,19/4/2012,
23588,2,821156,834105,19/4/2012,
23589,2,825044,830506,19/4/2012,
23590,2,829212,831970,19/4/2012,
23592,2,822929,831631,20/1/2016,
23593,2,819957,836051,19/4/2012,
23594,2,825729,841707,19/4/2012,
23596,2,826390,838864,19/4/2012,
