original_Line Code,original_Direction,original_Stop Code,original_Stop ID,original_Chinese Name,original_English Name,original_Sequence,lat,lon,formatted,name,street,postcode,suburb,city,county,state,country,country_code,confidence,attribution,attribution_license,attribution_url
505,1,SAS,920,三聖,Sam Shing,1,22.3829779,113.977427,"Sam Shing, Hoi Wing Road, Tuen Mun South, Tuen Mun District, Hong Kong, China",Sam Shing,Hoi Wing Road,,Tuen Mun South,Tuen Mun,Tuen Mun District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
505,1,SIL,265,兆麟,Siu Lun,2,22.38459019,113.9750839,"Siu Lun, Tuen Mun Heung Sze Wui Road, Tuen Mun South, Tuen Mun District, Hong Kong, China",Siu Lun,Tuen Mun Heung Sze Wui Road,,Tuen Mun South,Tuen Mun,Tuen Mun District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
505,1,ONT,270,安定,On Ting,3,22.3878209,113.9750709,"On Ting, Tuen Mun Heung Sze Wui Road, Tuen Mun Central, Tuen Mun District, Hong Kong, China",On Ting,Tuen Mun Heung Sze Wui Road,,Tuen Mun Central,Tuen Mun,Tuen Mun District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
505,1,TOC,280,市中心,Town Centre,4,22.39141499,113.9749759,"Town Centre, Tuen Mun Heung Sze Wui Road, Tuen Mun Central, Tuen Mun District, Hong Kong, China",Town Centre,Tuen Mun Heung Sze Wui Road,,Tuen Mun Central,Tuen Mun,Tuen Mun District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
505,1,TML,295,屯門,Tuen Mun,5,22.39403206,113.972892,"Tuen Mun, Pui To Road, Tuen Mun Central, Tuen Mun District, Hong Kong, China",Tuen Mun,Pui To Road,,Tuen Mun Central,Tuen Mun,Tuen Mun District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
505,1,KIO,60,建安,Kin On,6,22.39506024,113.9695113,"Kin On, Pui To Road, Tuen Mun Industrial Area, Tuen Mun District, Hong Kong, China",Kin On,Pui To Road,,Tuen Mun Industrial Area,Tuen Mun,Tuen Mun District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
505,1,SKS,190,山景(南),Shan King (South),7,22.396636,113.9660713,"Shan King (South), Yeung King Road, Tuen Mun Industrial Area, Tuen Mun District, Hong Kong, China",Shan King (South),Yeung King Road,,Tuen Mun Industrial Area,Tuen Mun,Tuen Mun District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
505,1,SKN,180,山景(北),Shan King (North),8,22.39889003,113.9671177,"Shan King (North), Ming Kum Road, Tuen Mun Industrial Area, Tuen Mun District, Hong Kong, China",Shan King (North),Ming Kum Road,,Tuen Mun Industrial Area,Tuen Mun,Tuen Mun District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
505,1,SHP,170,石排,Shek Pai,9,22.40142096,113.9678028,"Shek Pai, Ming Kum Road, Leung Tin, Tuen Mun District, Hong Kong, China",Shek Pai,Ming Kum Road,,Leung Tin,Tuen Mun,Tuen Mun District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
505,1,SAW,160,新圍,San Wai,10,22.40530167,113.9644719,"San Wai, Tin King Road, Leung Tin, Tuen Mun District, Hong Kong, China",San Wai,Tin King Road,,Leung Tin,Tuen Mun,Tuen Mun District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
505,1,LEK,150,良景,Leung King,11,22.40671412,113.9636586,"Leung King, Tin King Road, Tuen Mun North, Tuen Mun District, Hong Kong, China",Leung King,Tin King Road,,Tuen Mun North,Tuen Mun,Tuen Mun District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
505,1,TNK,140,田景,Tin King,12,22.40771805,113.96643,"Tin King Road, Tuen Mun North, Tuen Mun District, Hong Kong, China",Tin King,Tin King Road,,Tuen Mun North,Kei Lun Wai,Tuen Mun District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
