original_Line Code,original_Direction,original_Station Code,original_Station ID,original_Chinese Name,original_name,original_Sequence,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,county_code,city,county,state_code,state,country,country_code,confidence,attribution,attribution_license,attribution_url
AEL,DT,AWE,56,博覽館,AsiaWorld-Expo,1,22.32084401,113.9418496,"AsiaWorld-Expo, Cheong Wing Road, Islands District, Hong Kong, China",AsiaWorld-Expo,,Cheong Wing Road,,,,,,Islands District,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
AEL,DT,AIR,47,機場,Airport,2,22.31587741,113.9365723,"Helsinki Airport, Koivukylänväylä, 01390 Vantaa, Finland",Helsinki Airport,,Koivukylänväylä,1390,Koivukylän suuralue,Ilola,,Vantaa,Uusimaa,,Mainland Finland,Finland,fi,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
AEL,DT,TSY,46,青衣,Tsing Yi,3,22.35849779,114.1076827,"Tsing Yi, Kwai Tsing District, China",Tsing Yi,,,,,,,Tsing Yi,Kwai Tsing District,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
AEL,DT,KOW,45,九龍,Kowloon,4,22.30432323,114.16146,"Hung Hom, Cheong Wan Road, Tsim Sha Tsui, Hong Kong, China",Hung Hom,,Cheong Wan Road,,Yau Tsim Mong District,Tsim Sha Tsui,,Kowloon,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
AEL,DT,HOK,44,香港,Hong Kong,5,22.28466356,114.1582117,"Hong Kong, Finance Street, SoHo, Hong Kong, China",Hong Kong,,Finance Street,,Central District,SoHo,,Hong Kong Island,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
DRL,DT,SUN,54,欣澳,Sunny Bay,1,22.33173099,114.0289607,"Sunny Bay, North Lantau Highway, Luk Keng Tsuen, Tsuen Wan District, Hong Kong, China",Sunny Bay,,North Lantau Highway,,,Luk Keng Tsuen,,,Tsuen Wan District,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
DRL,DT,DIS,55,迪士尼,Disneyland Resort,2,22.31534436,114.0451983,"Disneyland Resort, 1313 South Harbor Boulevard, Anaheim, CA 92802, United States of America",Disneyland Resort,1313,South Harbor Boulevard,92802,,Anaheim Resort District,,Anaheim,Orange County,CA,California,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
EAL,DT,LOW,76,羅湖,Lo Wu,1,22.52816953,114.1133861,"Lo Wu, Border Road, Lo Wu, North District, 518005 Hong Kong, China",Lo Wu,,Border Road,518005,,Lo Wu,,Lo Wu Village,North District,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
EAL,DT,SHS,75,上水,Sheung Shui,2,22.50124955,114.1279633,"Sheung Shui, San Wan Road, Sheung Shui Town Centre, North District, 518005 Hong Kong, China",Sheung Shui,,San Wan Road,518005,,Sheung Shui Town Centre,,Sheung Shui,North District,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
EAL,DT,FAN,74,粉嶺,Fanling,3,22.49208787,114.1387029,"Fanling Station Road, Fanling Town Centre, North District, Hong Kong, China",Fanling,,Fanling Station Road,,,Fanling Town Centre,,Fanling,North District,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
EAL,DT,TWO,73,太和,Tai Wo,4,22.45100139,114.161232,"Tai Wo, Po Nga Road, Kam Shan, Tai Po District, Hong Kong, China",Tai Wo,,Po Nga Road,,,Kam Shan,,Tai Po Tau Shui Wai Village,Tai Po District,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
EAL,DT,TAP,72,大埔墟,Tai Po Market,5,22.44456892,114.1704821,"Tai Po Market, Nga Wan Road, Wan Tau Tong, Tai Po District, 00000 Hong Kong, China",Tai Po Market,,Nga Wan Road,0,,Wan Tau Tong,,Tai Po,Tai Po District,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
EAL,DT,UNI,71,大學,University,6,22.41314732,114.2099534,"University, Chak Cheung Street, Ma Liu Shui, Sha Tin District, 00000 Hong Kong, China",University,,Chak Cheung Street,0,,Ma Liu Shui,,Kau To,Sha Tin District,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
EAL,DT,FOT,69,火炭,Fo Tan,7,22.39508564,114.1981494,"Fo Tan, Lok King Street, Fo Tan, Sha Tin District, 00000 Hong Kong, China",Fo Tan,,Lok King Street,0,,Fo Tan,,Fo Tan Village,Sha Tin District,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
EAL,DT,SHT,68,沙田,Sha Tin,8,22.38182757,114.1869892,"Sha Tin Station Circuit, Sha Tin Central, Sha Tin District, 00000 Hong Kong, China",Sha Tin,,Sha Tin Station Circuit,0,,Sha Tin Central,,Sha Tin,Sha Tin District,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
EAL,DT,TAW,67,大圍,Tai Wai,9,22.3727141,114.1786206,"Tai Wai, Che Kung Miu Road, Tai Wai Hui, Sha Tin District, 00000 Hong Kong, China",Tai Wai,,Che Kung Miu Road,0,,Tai Wai Hui,,Tin Sam,Sha Tin District,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
EAL,DT,KOT,8,九龍塘,Kowloon Tong,10,22.33718307,114.1760919,"Kowloon Tong, 1 To Fuk Road, Kowloon Tong, Hong Kong, China",Kowloon Tong,1,To Fuk Road,,Kowloon City District,Kowloon Tong,,Kowloon,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
EAL,DT,MKK,65,旺角東,Mong Kok East,11,22.32206253,114.1725953,"Mong Kok East, 30 Luen Wan Street, Mong Kok, Hong Kong, China",Mong Kok East,30,Luen Wan Street,,Yau Tsim Mong District,Mong Kok,,Kowloon,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
EAL,DT,HUH,64,紅磡,Hung Hom,12,22.30333536,114.1814628,"Hung Hom, Cheong Wan Road, Tsim Sha Tsui, Hong Kong, China",Hung Hom,,Cheong Wan Road,,Yau Tsim Mong District,Tsim Sha Tsui,,Kowloon,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
EAL,DT,EXC,94,會展,Exhibition Centre,13,22.28214149,114.175501,"Exhibition Centre, Minerva Street, Glasgow, G3 8BY, United Kingdom",Exhibition Centre,,Minerva Street,G3 8BY,,Finnieston,GLG,Glasgow,Glasgow City,SCT,Scotland,United Kingdom,gb,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
EAL,DT,ADM,2,金鐘,Admiralty,14,22.27941274,114.1645598,"Admiralty, Rodney Street, Admiralty, Hong Kong, China",Admiralty,,Rodney Street,,Central and Western District,Admiralty,,Hong Kong Island,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
EAL,LMC-DT,LMC,78,落馬洲,Lok Ma Chau,1,22.51482349,114.0656578,"Lok Ma Chau Spur Line Control Point, Yuen Long District, 518048 Guangdong Province, China",Lok Ma Chau,,Lok Ma Chau Spur Line Control Point,518048,,,,Futian District,Yuen Long District,,Guangdong Province,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
ISL,DT,CHW,37,柴灣,Chai Wan,1,22.26463215,114.237141,"Chaiwan, Shangshui County, Henan, China",Chaiwan,,,,,,,Shangshui County,,,Henan,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
ISL,DT,HFC,36,杏花邨,Heng Fa Chuen,2,22.27686264,114.2399522,"Heng Fa Chuen, Shau Kei Wan, Hong Kong Island, Eastern District, China",Heng Fa Chuen,,,,Eastern District,Shau Kei Wan,,Hong Kong Island,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
ISL,DT,SKW,35,筲箕灣,Shau Kei Wan,3,22.27923286,114.2288901,"Shau Kei Wan, 1 Po Man Street, Shau Kei Wan, Hong Kong, China",Shau Kei Wan,1,Po Man Street,,Eastern District,Shau Kei Wan,,Hong Kong Island,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
ISL,DT,SWH,34,西灣河,Sai Wan Ho,4,22.28209839,114.2221104,"Sai Wan Ho, 111 Shau Kei Wan Road, Sai Wan Ho, Hong Kong, China",Sai Wan Ho,111,Shau Kei Wan Road,,Eastern District,Sai Wan Ho,,Hong Kong Island,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
ISL,DT,TAK,33,太古,Tai Koo,5,22.28466984,114.2163922,"Tai Koo, 1-2 Kornhill Road, Quarry Bay, Hong Kong, China",Tai Koo,2月1日,Kornhill Road,,Eastern District,Quarry Bay,,Hong Kong Island,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
ISL,DT,QUB,32,鰂魚涌,Quarry Bay,6,22.28788809,114.2097482,"Quarry Bay, King's Road, Quarry Bay, Hong Kong, China",Quarry Bay,,King's Road,,Eastern District,Quarry Bay,,Hong Kong Island,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
