Line Code,Direction,Stop Code,Stop ID,Chinese Name,English Name,Sequence
505,1,SAS,920,三聖,Sam Shing,1
505,1,SIL,265,兆麟,Siu Lun,2
505,1,ONT,270,安定,On Ting,3
505,1,TOC,280,市中心,Town Centre,4
505,1,TML,295,屯門,Tuen Mun,5
505,1,KIO,60,建安,Kin On,6
505,1,SKS,190,山景(南),Shan King (South),7
505,1,SKN,180,山景(北),Shan King (North),8
505,1,SHP,170,石排,Shek Pai,9
505,1,SAW,160,新圍,San Wai,10
505,1,LEK,150,良景,Leung King,11
505,1,TNK,140,田景,Tin King,12
505,1,KIS,130,建生,Kin Sang,13
505,1,CHC,120,青松,Ching Chung,14
505,1,KEL,110,麒麟,Kei Lun,15
505,1,SHL,100,兆康,Siu Hong,16
505,2,MIK,200,鳴琴,Ming Kum,8
507,1,FEP,1,屯門碼頭,Tuen Mun Ferry Pier,1
507,1,SHE,240,兆禧,Siu Hei,2
507,1,TSP,250,屯門泳池,Tuen Mun Swimming Pool,3
507,1,GOG,260,豐景園,Goodview Garden,4
507,1,HOT,70,河田,Ho Tin,9
507,1,CYB,75,蔡意橋,Choy Yee Bridge,10
507,1,NGW,230,銀圍,Ngan Wai,11
507,1,THS,220,大興(南),Tai Hing (South),12
507,1,THN,212,大興(北),Tai Hing (North),13
614P,1,PUT,300,杯渡,Pui To,8
614P,1,HFT,310,何福堂,Hoh Fuk Tong,9
614P,1,SAH,320,新墟,San Hui,10
614P,1,PRV,330,景峰,Prime View,11
614P,1,FUT,340,鳳地,Fung Tei,12
615P,2,TWN,50,青雲,Tsing Wun,10
615P,2,TSS,40,青山村,Tsing Shan Tsuen,11
615P,2,LUM,30,龍門,Lung Mun,12
615P,2,LRD,20,輕鐵車廠,Light Rail Depot,13
615P,2,BUT,15,蝴蝶,Butterfly,14
615P,2,MEG,10,美樂,Melody Garden,15
610,1,AFF,80,澤豐,Affluence,13
610,1,TMH,90,屯門醫院,Tuen Mun Hospital,14
610,1,LTE,350,藍地,Lam Tei,16
610,1,NAW,360,泥圍,Nai Wai,17
610,1,CUT,370,鍾屋村,Chung Uk Tsuen,18
610,1,HSK,380,洪水橋,Hung Shui Kiu,19
610,1,TOF,390,塘坊村,Tong Fong Tsuen,20
610,1,PIS,400,屏山,Ping Shan,21
610,1,SPW,560,水邊圍,Shui Pin Wai,22
610,1,FNR,570,豐年路,Fung Nin Road,23
610,1,HLR,580,康樂路,Hong Lok Road,24
610,1,TTR,590,大棠路,Tai Tong Road,25
610,1,YLL,600,元朗,Yuen Long,26
705,1,TSL,430,天水圍,Tin Shui Wai,1
705,1,TIT,435,天慈,Tin Tsz,2
705,1,TWU,450,天湖,Tin Wu,3
705,1,GIN,455,銀座,Ginza,4
705,1,TWI,500,天榮,Tin Wing,5
705,2,TYU,510,天悅,Tin Yuet,2
705,2,TSA,520,天秀,Tin Sau,3
705,2,WEP,530,濕地公園,Wetland Park,4
705,2,THE,540,天恒,Tin Heng,5
705,2,TYA,550,天逸,Tin Yat,6
705,2,TFU,480,天富,Tin Fu,7
705,2,CHF,468,頌富,Chung Fu,8
705,2,TSU,460,天瑞,Tin Shui,9
705,2,LOC,448,樂湖,Locwood,10
705,2,TIY,445,天耀,Tin Yiu,11
751,1,YAO,275,友愛,Yau Oi,1
751,1,HMT,425,坑尾村,Hang Mei Tsuen,14
751,1,CHE,490,翠湖,Chestwood,20
